starttime;endtime;title;organizer;location
05.01.2019;;Abteilungsversammlung;Feuerwehr Abteilung Wollbach;Kandertalstübli
06.01.2019;;Neujahrsempfang;Ortsverwaltung Wollbach;Kandertalhalle
12.01.2019;;90er-Party;Füürdeufel Wollbach;Kandertalhalle
25.01.2019;;Jahreskonzert;Musikverein Wollbach;Kandertalhalle
26.01.2019;;Jahreskonzert;Musikverein Wollbach;Kandertalhalle
05.02.2019;;Generalversammlung;Gesangverein Wollbach;Kandertalstübli
07.02.2019;;Generalversammlung;Musikverein Wollbach;Kandertalstübli
15.02.2019;;Generalversammlung;Tennisclub Wollbach;Kandertalstübli
16.02.2019;;Jugendturnier;Sportverein Wollbach;Kandertalhalle
17.02.2019;;Jugendturnier;Sportverein Wollbach;Kandertalhalle
17.02.2019;;Seniorennachmittag;Kirchengemeinde Wollbach-Holzen;Wartburg
18.02.2019;;Blutspende;DRK-Ortsverein Wollbach;Kandertalhalle
27.02.2019;;Generalversammlung;Kreisobst- und Gartenbauverband Lö;Kandertalstübli
01.03.2019;;Weltgebetstag;Kirchengemeinde Wollbach-Holzen;Wartburg
09.03.2019;;Kinderfasnacht;Stachelbieschter;Kandertalhalle
10.03.2019;;Fasnachtsfeuer;Musikverein Wollbach;Baselblick
17.03.2019;;Generalversammlung;Frauenverein Wollbach;Wartburg
23.03.2019;;Frühlingsfest;Kreisobst- und Gartenbauverband Lö;Kandertalhalle
29.03.2019;;Generalversammlung;Sportverein Wollbach;Sportheim
07.04.2019;;Konfirmationsjubiläum;Kirchengemeinde Wollbach-Holzen;Ev. Kirche
14.04.2019;;Platzeröffnung;Tennisclub Wollbach;Tennisplatz
15.02.2019;18.02.2019;Tennis unter Anleitung;Tennisclub Wollbach;Tennisplatz
21.04.2019;;Osternacht;Kirchengemeinde Wollbach-Holzen;Ev. Kirche
01.05.2019;;Schänke am Bach;Feuerwehr Abteilung Wollbach;Hammerstein
01.05.2019;;Maischänke   ;Chochlöffel Wollbach;Schmidt's Schüüre
12.05.2019;;Konfirmation    ;Kirchengemeinde Wollbach-Holzen;Ev. Kirche
Mai;;Ufert-Gottesdienst;Kirchengemeinde Wollbach-Holzen;Ev. Kirche Wollbach
12.05.2019;;Jugendkonzert ;Musilverein Wollbach;Kandertalhalle
17.05.2019;;Sommerfest;CSK Wollbach;Kandertalhalle
26.05.2019;;Kommunalwahlen;Ortsverwaltung Wollbach;Kandertalstübli
30.05.2019;;Ufert-Gottesdienst;Kirchengemeinde Wollbach-Holzen;Ev. Kirche
30.05.2019;;Vatertags-Schänke;Wiigeischter Wollbach;Erichs Schopf
22.06.2019;;Open-air-Konzert;Musikverein Wollbach;Forsthof
28.06.2019;;Generalversammlung;DRK-Kreisverband;Kandertalhalle
29.06.2019;;Sportfest;Sportverein Wollbach;Sportheim
30.06.2019;;Sportfest;Sportverein Wollbach;Sportheim
14.07.2019;;Feuerwehrfest;Feuerwehr Abteilung Wollbach;Rathaus-Innenhof
21.07.2019;;Gottesdienst + Kirchplatzhock;Kirchengemeinde Wollbach-Holzen;Kirchplatz
10.08.2019;;Sommerlichter;Rüttehof mit Vereinsunterstützg.;Rüttehof
18.08.2019;;Strüblifest;Gesangverein Wollbach;Schulhof
07.11.2019;09.11.2019;Budenfest Kandern;div. Vereine;Blumenplatz Kandern
06.10.2019;;Erntedankfest;Kirchengemeinde Wollbach-Holzen;Ev. Kirche
12.10.2019;;Herbstfest/Sauserexpress;Musikverein Wollbach;Kandertalhalle
13.10.2019;;Herbstfest;Musikverein Wollbach;Kandertalhalle
16.11.2019;;Fasnachtsauftakt;Füürdeufel Wollbach;Kandertalhalle
17.11.2019;;Gedenkfeier Volkstrauertag;Ortsverwaltung Wollbach;Ehrenmal
01.12.2019;;Wartburgfest;Kirchengemeinde Wollbach-Holzen;Kandertalhalle
15.12.2019;;Seniorennachmittag;Kirchengemeinde Wollbach-Holzen;Wartburg
15.12.2019;;Jugendvorspiel;Musikverein Wollbach;Ev. Kirche
24.12.2019;;Heiligabend-Krippenspiel;Kirchengemeinde Wollbach-Holzen;Ev. Kirche
